2458871.1918455348 6.1e-05 0.9324003826 0 1 2
2458871.1919064634 6.1e-05 0.9323876244 0 1 2
2458871.1919674543 6.1e-05 0.9323754744 0 1 2
2458871.1920285071 6.1e-05 0.9323631959 0 1 2
2458871.192089498 6.1e-05 0.9323487483 0 1 2
2458871.1921505514 6.1e-05 0.9323343757 0 1 2
2458871.1922114799 6.1e-05 0.9323206132 0 1 2
2458871.1922725332 6.1e-05 0.9323087318 0 1 2
2458871.1923335241 6.1e-05 0.9322983209 0 1 2
2458871.192394515 6.1e-05 0.9322862772 0 1 2
2458871.1924555684 6.1e-05 0.9322761089 0 1 2
2458871.1925164969 6.1e-05 0.9322658722 0 1 2
2458871.1925775497 6.1e-05 0.9322562019 0 1 2
2458871.1926385406 6.1e-05 0.9322485465 0 1 2
2458871.192698596 6.1e-05 0.9322377841 0 1 2
2458871.1927595246 6.1e-05 0.9322276777 0 1 2
2458871.1928205155 6.1e-05 0.9302448869 0 1 2
2458871.1928815688 6.1e-05 0.8950476124 0 1 2
2458871.1929425597 6.1e-05 0.8089474834 0 1 2
2458871.193003613 6.1e-05 0.6920918687 0 1 2
2458871.1930645416 6.1e-05 0.56178066 0 1 2
2458871.1931255949 6.1e-05 0.4290220954 0 1 2
2458871.1931865858 6.1e-05 0.3023338079 0 1 2
2458871.1932475767 6.1e-05 0.1897542857 0 1 2
2458871.1933085672 6.1e-05 0.09905314583 0 1 2
2458871.1933695581 6.1e-05 0.03842980478 0 1 2
2458871.1934306114 6.1e-05 0.01601191326 0 0 2
2458871.1934916023 6.1e-05 0.01521435436 0 0 2
2458871.1935526556 6.1e-05 0.01520933767 0 1 2
2458871.1936135842 6.1e-05 0.01520458852 0 1 2
2458871.1936745751 6.1e-05 0.01520009247 0 1 2
2458871.1937356284 6.1e-05 0.01519575679 0 0 2
2458871.1937966193 6.1e-05 0.0151915884 0 1 2
2458871.1938566747 6.1e-05 0.01518784234 0 0 2
2458871.1939176032 6.1e-05 0.01518451599 0 1 2
2458871.1939785942 6.1e-05 0.01518163021 0 1 2
2458871.194039647 6.1e-05 0.01517917612 0 1 2
2458871.1941006379 6.1e-05 0.01517718139 0 0 2
2458871.1941616288 6.1e-05 0.01517567954 0 0 2
2458871.1942226198 6.1e-05 0.01517457723 0 0 2
2458871.1942836731 6.1e-05 0.01517372547 0 1 2
2458871.194344664 6.1e-05 0.015173241 0 1 2
2458871.1944056549 6.1e-05 0.015173074 0 1 2
2458871.1944666458 6.1e-05 0.01517323492 0 1 2
2458871.1945276367 6.1e-05 0.01517377576 0 1 2
2458871.1945886896 6.1e-05 0.0151745722 0 0 2
2458871.1946496805 6.1e-05 0.01517575539 0 0 2
2458871.1947107338 6.1e-05 0.0151774312 0 1 2
2458871.1947716624 6.1e-05 0.01517956266 0 0 2
2458871.1948326533 6.1e-05 0.01518212951 0 0 2
2458871.1948937066 6.1e-05 0.0151851504 0 0 2
2458871.1949546975 6.1e-05 0.01518863696 0 0 2
2458871.1950156884 6.1e-05 0.01519248662 0 0 2
2458871.1950756814 6.1e-05 0.01519642993 0 1 2
2458871.1951367348 6.1e-05 0.01520061048 0 0 2
2458871.1951977257 6.1e-05 0.01520504431 0 0 2
2458871.1952587166 6.1e-05 0.01520973226 0 0 2
2458871.195319707 6.1e-05 0.01602901143 0 1 2
2458871.195380698 6.1e-05 0.03884486098 0 1 2
2458871.1954417513 6.1e-05 0.09960473517 0 1 2
2458871.1955027422 6.1e-05 0.1902839486 0 1 2
2458871.1955637955 6.1e-05 0.3029545562 0 1 2
2458871.195624724 6.1e-05 0.4293529263 0 1 2
2458871.1956857149 6.1e-05 0.5622448958 0 1 2
2458871.1957467683 6.1e-05 0.6932728962 0 1 2
2458871.1958077592 6.1e-05 0.8097625297 0 1 2
2458871.1958687496 6.1e-05 0.8955767017 0 1 2
2458871.1959297406 6.1e-05 0.9303807775 0 1 2
2458871.1959907315 6.1e-05 0.9322840893 0 1 2
2458871.1960517848 6.1e-05 0.9322963329 0 1 2
2458871.1961127757 6.1e-05 0.932309278 0 1 2
2458871.1961737666 6.1e-05 0.9323190121 0 1 2
2458871.1962337596 6.1e-05 0.9323306331 0 1 2
2458871.196294813 6.1e-05 0.9323429887 0 1 2
2458871.1963558039 6.1e-05 0.9323552515 0 1 2
2458871.1964167324 6.1e-05 0.9323693503 0 1 2
2458871.1964777857 6.1e-05 0.932381841 0 1 2
2458871.1965387766 6.1e-05 0.932395809 0 1 2
2458871.1965998295 6.1e-05 0.9324116676 0 1 2
2458871.1966608204 6.1e-05 0.9324280996 0 1 2
2458871.1967218113 6.1e-05 0.9324446222 0 1 2
2458871.1967828022 6.1e-05 0.9324589338 0 1 2
